sentences
"{""text"": ""The Fulton County Grand Jury said Friday an investigation of recent primary election produced no evidence that any irregularities took place"", ""target"": ""brown_university_corpus""}"
"{""text"": ""I will never use this airline again."", ""target"": ""airline_corpus""}"
"{""text"": ""The term jury had been charged by Fulton Superior Court Judge Durwood Pye to investigate reports of possible irregularities in the primary which was won by Ivan Allen"", ""target"": ""brown_university_corpus""}"
"{""text"": ""If I have to pay any additional fees I will not fly more for this company."", ""target"": ""airline_corpus""}"
"{""text"": ""The jury said it did find that many of registration and election laws are outmoded or inadequate and often ambiguous"", ""target"": ""brown_university_corpus""}"
"{""text"": ""not only that they should improve the service"", ""target"": ""airline_corpus""}"
"{""text"": ""The grand jury commented on a number of other topics among them the Atlanta and Fulton County purchasing departments which it said are well operated and follow generally accepted practices which inure to the best interest of both governments"", ""target"": ""brown_university_corpus""}"
"{""text"": ""I this flight do not like!"", ""target"": ""airline_corpus""}"
"{""text"": ""However the jury said it believes these two offices should be combined to achieve greater efficiency and reduce the cost of administration"", ""target"": ""brown_university_corpus""}"
"{""text"": ""What other airlines do you recommend?"", ""target"": ""airline_corpus""}"
"{""text"": ""It urged that the city take steps to remedy this problem"", ""target"": ""brown_university_corpus""}"
"{""text"": ""Yes, because of the bad service they gave me"", ""target"": ""airline_corpus""}"
"{""text"": ""It urged that the next Legislature provide enabling funds and the effective date so that an orderly implementation of the law may be effected"", ""target"": ""brown_university_corpus""}"
"{""text"": ""I will not travel again in this airline are irresponsible"", ""target"": ""airline_corpus""}"
"{""text"": ""This is one of the major items in the Fulton County general assistance program the jury said but the State Welfare Department has seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of Fulton County which receives none of this money"", ""target"": ""brown_university_corpus""}"
"{""text"": ""hi could you please tell me again the information that i did not understand"", ""target"": ""airline_corpus""}"
"{""text"": ""Nevertheless we feel that in the future Fulton County should receive some portion of these available funds the jurors said"", ""target"": ""brown_university_corpus""}"
"{""text"": ""To who do I talk to-  I'd never to use this airline again!"", ""target"": ""airline_corpus""}"
"{""text"": ""The jury also commented on the Fulton court which has been under fire for its practices in the appointment of appraisers guardians and administrators and the awarding of fees and compensation"", ""target"": ""brown_university_corpus""}"
"{""text"": ""No, I'm not threatening, I'm actually gonna change this airline"", ""target"": ""airline_corpus""}"
